Sequence	LTR5	LTR3	TSR	PPT	pos_gag	pos_protease	pos_rnase	pos_rt	pos_integrase	pos_transposase
harpegnathos_saltator_NW_020230314.1:1224-22915	NA	NA	NA	NA	NA	NA	NA	NA	1186-2946	1186-2946, 7374-7967
harpegnathos_saltator_NW_020230316.1:119983-140711	NA	NA	NA	NA	NA	4590-5930	7338-8144	6135-6731, 6777-7256	8291-9775, 14949-15275	8291-9775, 14949-15275
harpegnathos_saltator_NW_020230316.1:120304-141764	NA	NA	NA	NA	NA	4269-5609	7017-7823	5814-6410, 6456-6935	7970-9454, 14628-14954	7970-9454, 14628-14954, 21343-20522
harpegnathos_saltator_NW_020230316.1:614844-635572	NA	NA	NA	NA	NA	20298-20729	7619-8134	6127-6903, 19330-19731	8195-8893, 16062-15058, 1658-1164	8820-9608, 16062-15058
harpegnathos_saltator_NW_020230316.1:847739-868464	NA	NA	NA	NA	NA	NA	14322-12727	16425-14332, 14322-12727	12718-10991	12718-10991
harpegnathos_saltator_NW_020230318.1:1-16461	NA	NA	NA	NA	NA	NA	51-914	51-914	862-2736	862-2736
harpegnathos_saltator_NW_020230338.1:1-16607	NA	NA	NA	NA	NA	NA	613-1233	15-623	1258-2889	1258-2889, 16493-15594
harpegnathos_saltator_NW_020230345.1:192595-214322	NA	NA	NA	NA	NA	NA	5752-7824, 16784-17179	NA	5752-7824, 17471-18151	NA
harpegnathos_saltator_NW_020230345.1:193009-213929	NA	NA	NA	NA	NA	NA	5338-7410, 16370-16765	NA	5338-7410, 17057-17737	NA
harpegnathos_saltator_NW_020230369.1:1-15863	NA	NA	NA	NA	NA	NA	2709-6353	2709-6353	2709-6353, 12992-12534	2709-6353, 13580-13056, 12992-12534
harpegnathos_saltator_NW_020230381.1:1-10656	NA	NA	NA	NA	NA	NA	4970-2007	4970-2007	NA	1999-965
harpegnathos_saltator_NW_020230394.1:25562-45620	7334:7543	19818:20029	NOTFOUND	7628:7642	NA	NA	15158-13110	15158-13110	12131-11460	12131-11460
harpegnathos_saltator_NW_020230399.1:1-13877	NA	NA	NA	NA	NA	NA	5616-5122	6142-5804	7476-8033, 10129-9674, 9272-8226, 2335-1940	7476-8033, 9272-8226, 2335-1940
harpegnathos_saltator_NW_020230402.1:1-17758	8579:8871	13811:14103	8573:8578/14104:14109	13796:13810	NA	9901-13083	9901-13083	9901-13083	9901-13083, 16620-17078	9901-13083, 16620-17078
harpegnathos_saltator_NW_020230411.1:26907-48367	6484:8342	19180:21052	NOTFOUND	8343:8357	NA	17184-16726	15386-13254	15386-13254	13233-12025	13233-12025, 1324-863
harpegnathos_saltator_NW_020230415.1:1410245-1430970	NA	NA	NA	NA	NA	NA	NA	853-1278	11471-10806, 6401-6069	11471-10806
harpegnathos_saltator_NW_020230418.1:1-13509	NA	NA	NA	NA	NA	10129-9572	7828-6911	7828-6911	4850-3735	4850-3735
harpegnathos_saltator_NW_020230423.1:94422-115906	NA	NA	NA	NA	NA	18628-18044	15614-14835	16443-15838	14875-14093	NA
harpegnathos_saltator_NW_020230461.1:1-20167	NA	NA	NA	NA	NA	NA	4304-5605, 5633-6628	4304-5605	6550-7368, 14103-13603	7396-7827
harpegnathos_saltator_NW_020230463.1:2868-17647	NA	NA	NA	NA	NA	3537-7967	3537-7967	3537-7967	3537-7967	3537-7967
harpegnathos_saltator_NW_020230471.1:62210-83901	NA	NA	NA	NA	2083-761	709-2	NA	NA	NA	NA
harpegnathos_saltator_NW_020230484.1:15975-30417	NA	NA	NA	NA	NA	3742-7485	3742-7485	3742-7485	3742-7485	7514-8173
harpegnathos_saltator_NW_020230484.1:16179-30417	NA	NA	NA	NA	NA	3538-7281	3538-7281	3538-7281	3538-7281	7310-7969
harpegnathos_saltator_NW_020230493.1:381240-402655	NA	NA	NA	NA	377-1549	1450-2073	2646-3227, 3240-3605, 14812-14009	2104-2718, 2646-3227, 18499-17447, 15355-14858	3699-4667, 7623-8720, 13975-12839	7623-8720, 12817-11999
harpegnathos_saltator_NW_020230493.1:49006-70502	NA	NA	NA	NA	NA	NA	14626-13427	16696-15311, 15157-14660	NA	13411-12056
harpegnathos_saltator_NW_020230500.1:27083-42440	NA	NA	NA	NA	NA	NA	14850-12007	15172-14804, 14850-12007	63-392, 14850-12007	63-392, 14850-12007
harpegnathos_saltator_NW_020230519.1:139179-160870	NA	NA	NA	NA	NA	18156-13726	18156-13726	18156-13726	18156-13726	18156-13726
harpegnathos_saltator_NW_020230519.1:170990-191712	2535:4094	12247:13828	NOTFOUND	12215:12229	NA	1473-2225, 5692-9693	5692-9693	5692-9693	5692-9693	5692-9693
harpegnathos_saltator_NW_020230519.1:176590-195243	8244:9883	16952:18590	8240:8243/18591:18594	16897:16911	NA	92-4093	92-4093	92-4093	92-4093	92-4093
harpegnathos_saltator_NW_020230528.1:733301-754764	NA	NA	NA	NA	NA	19807-18263	16615-15560, 15517-15146	16615-15560	142-732, 2431-3099, 17732-16644, 13477-12011	1836-2318, 17732-16644, 13477-12011
harpegnathos_saltator_NW_020230528.1:734357-755085	NA	NA	NA	NA	NA	18751-17207	15559-14504, 14461-14090	15559-14504	1375-2043, 16676-15588, 12421-10955	780-1262, 16676-15588, 12421-10955
harpegnathos_saltator_NW_020230551.1:125995-140722	2965:3618	12667:13338	2961:2964/13339:13342	12652:12666	NA	5048-5761	6725-7885	6113-6466	7943-8560, 8529-9380	NA
harpegnathos_saltator_NW_020230556.1:89736-111226	NA	NA	NA	NA	NA	NA	14929-13013	15784-14936, 14929-13013	1364-1717, 8054-9100, 7422-6619	979-1593, 8054-9100, 12826-12497, 7422-6619
harpegnathos_saltator_NW_020230556.1:90027-110965	NA	NA	NA	NA	NA	NA	14638-12722	15493-14645, 14638-12722	1073-1426, 7763-8809, 7131-6328	688-1302, 7763-8809, 12535-12206, 7131-6328
harpegnathos_saltator_NW_020230560.1:663929-678664	699:2022	13400:14724	NOTFOUND	13385:13399	NA	4584-5675	6609-7640, 7619-9775	6609-7640	7619-9775	7619-9775
harpegnathos_saltator_NW_020230560.1:664250-678664	378:1701	13079:14403	NOTFOUND	13064:13078	NA	4263-5354	6288-7319, 7298-9454	6288-7319	7298-9454	7298-9454
harpegnathos_saltator_NW_020230571.1:1-12981	NA	NA	NA	NA	NA	NA	10359-9658	12128-10389	8992-7805	NA
harpegnathos_saltator_NW_020230571.1:1-13059	NA	NA	NA	NA	NA	NA	10359-9658	12128-10389	8992-7805	NA
harpegnathos_saltator_NW_020230577.1:1-13014	NA	NA	NA	NA	NA	8742-6682	6746-3561	8742-6682, 6746-3561	6746-3561	6746-3561
harpegnathos_saltator_NW_020230579.1:1-13541	NA	NA	NA	NA	NA	NA	NA	NA	NA	352-1035
harpegnathos_saltator_NW_020230579.1:1-14759	NA	NA	NA	NA	NA	NA	NA	NA	NA	352-1035
harpegnathos_saltator_NW_020230582.1:867030-888487	NA	NA	NA	NA	NA	NA	16596-16291	17242-16688, 16596-16291	24-830, 7570-6731, 4218-3322	24-830, 7757-7443, 7570-6731
harpegnathos_saltator_NW_020230585.1:78731-99459	NA	NA	NA	NA	NA	NA	NA	NA	8830-9267	NA
harpegnathos_saltator_NW_020230596.1:31975-52697	3410:3653, 3485:3653	12521:12711, 12521:12786	NOTFOUND	12472:12486	NA	NA	NA	6370-8064	8202-9098	NA
harpegnathos_saltator_NW_020230607.1:108221-122456	NA	NA	NA	NA	NA	NA	14175-13624	NA	13378-12008	13378-12008
harpegnathos_saltator_NW_020230607.1:109274-122456	NA	NA	NA	NA	NA	NA	13122-12571	NA	12325-10955	12325-10955
harpegnathos_saltator_NW_020230610.1:23315-44712	3658:3949	8888:9180	3654:3657/9181:9184	3950:3964	NA	7857-4840	7857-4840	7857-4840	7857-4840, 2947-2609	1062-1415, 1721-2098, 7857-4840
harpegnathos_saltator_NW_020230621.1:1-12576	NA	NA	NA	NA	NA	NA	NA	NA	469-1545	469-1545
harpegnathos_saltator_NW_020230623.1:29116-44079	NA	NA	NA	NA	NA	NA	NA	NA	14914-14411	14531-13725
harpegnathos_saltator_NW_020230626.1:5441-27057	NA	NA	NA	NA	NA	1563-2831	2774-5953	2774-5953	2774-5953	2774-5953
harpegnathos_saltator_NW_020230643.1:1-13992	5080:5364	9701:9985	5074:5079/9986:9991	5365:5379	NA	9270-5881	132-2174, 9270-5881	9270-5881	132-2174, 9270-5881	132-2174, 9270-5881
harpegnathos_saltator_NW_020230665.1:1-19796	NA	NA	NA	NA	NA	NA	4285-4815	3899-4291	6875-7990, 18057-17641	6875-7990, 19225-19794
harpegnathos_saltator_NW_020230700.1:1574255-1590046	NA	NA	NA	NA	NA	NA	14448-14089	14898-14515	14074-12008	14074-12008
harpegnathos_saltator_NW_020230700.1:1575308-1590046	NA	NA	NA	NA	NA	NA	13395-13036	13845-13462	13021-10955	13021-10955
heligmosomoides_polygyrus_FMJQ01000052.1:340083-362053	NA	NA	NA	NA	NA	NA	NA	21589-21969	13403-14170, 17705-18166	17705-18166
lasius_niger_LBMM01004455.1:1-14290	NA	NA	NA	NA	NA	3280-5574	3280-5574	3280-5574	5763-6926	NA
lasius_niger_LBMM01007617.1:1-8448	NA	NA	NA	NA	NA	NA	13-2625	13-2625	13-2625	13-2625
lasius_niger_LBMM01008064.1:1-7907	NA	NA	NA	NA	NA	1600-5568	1600-5568	1600-5568	1600-5568	1600-5568
lasius_niger_LBMM01008323.1:1-7613	NA	NA	NA	NA	NA	NA	7610-5907	NA	7610-5907	7610-5907
lasius_niger_LBMM01009292.1:1-6629	NA	NA	NA	NA	NA	NA	4-2175	NA	4-2175	4-2175
lasius_niger_LBMM01011353.1:1-5137	NA	NA	NA	NA	NA	NA	NA	NA	NA	5114-4716
lasius_niger_LBMM01012068.1:1-4741	NA	NA	NA	NA	NA	NA	NA	NA	4666-2873	NA
leptinotarsa_decemlineata_NW_019291774.1:52358-72249	NA	NA	NA	NA	NA	17128-16334	NA	16019-15249	14937-13705	14937-13705
leptinotarsa_decemlineata_NW_019293082.1:6662-28632	NA	NA	NA	NA	NA	661-1194	2124-2756, 5779-6144	1210-1560, 1684-2019, 5420-5809, 5779-6144	NA	3083-3391
monomorium_pharaonis_NC_050467.1:14762714-14784741	NA	NA	NA	NA	NA	3175-7344	3175-7344, 21906-20176	3175-7344	3175-7344, 21906-20176	3175-7344, 15386-15955, 21906-20176
monomorium_pharaonis_NC_050467.1:15387722-15409533	NA	NA	NA	NA	NA	NA	2788-7287, 21807-18790	2788-7287, 21807-18790	2788-7287, 21807-18790	2788-7287, 21807-18790
monomorium_pharaonis_NC_050467.1:15437447-15459573	NA	NA	NA	NA	NA	NA	17566-14822	17566-14822	17566-14822	17566-14822
monomorium_pharaonis_NC_050467.1:27696364-27718427	NA	NA	NA	NA	NA	NA	17657-13350	17657-13350	17657-13350	17657-13350
monomorium_pharaonis_NC_050467.1:30529541-30551568	NA	NA	NA	NA	NA	NA	NA	NA	2481-3014	19789-19046
monomorium_pharaonis_NC_050467.1:33747655-33769604	NA	NA	NA	NA	NA	NA	NA	NA	13782-11929	NA
monomorium_pharaonis_NC_050467.1:36550230-36571345	2715:2914	14368:14567	NOTFOUND	14353:14367	NA	NA	5735-8974	5735-8974, 17702-18592, 18630-19748	NA	9089-9751
monomorium_pharaonis_NC_050467.1:36657895-36679007	NA	NA	NA	NA	NA	NA	6580-8553	6580-8553	8633-9406	NA
monomorium_pharaonis_NC_050467.1:7386574-7408601	NA	NA	NA	NA	NA	18829-14660	18829-14660	18829-14660	18829-14660	18829-14660
monomorium_pharaonis_NC_050467.1:7876929-7898899	780:3392	14759:17372	776:779/17373:17376	14674:14688	NA	NA	5938-9981	5938-9981	5938-9981	5938-9981
monomorium_pharaonis_NC_050468.1:26162733-26184796	NA	NA	NA	NA	NA	NA	4408-8715	4408-8715	4408-8715	4408-8715
monomorium_pharaonis_NC_050468.1:28958273-28980300	NA	NA	NA	NA	NA	3196-7365	3196-7365	3196-7365	3196-7365	3196-7365
monomorium_pharaonis_NC_050469.1:16869508-16891634	NA	NA	NA	NA	NA	NA	2785-7284	2785-7284	2785-7284	2785-7284
monomorium_pharaonis_NC_050470.1:13413982-13436045	NA	NA	NA	NA	NA	17645-15954	16059-13339	17645-15954, 16059-13339	16059-13339	16059-13339
monomorium_pharaonis_NC_050470.1:19355462-19377432	NA	NA	NA	NA	20728-17828	20728-17828	NA	20728-17828	NA	NA
monomorium_pharaonis_NC_050470.1:19558027-19579997	614:3392	14715:17493	610:613/17494:17497	14630:14644	NA	NA	5002-9981	5002-9981	5002-9981	5002-9981
monomorium_pharaonis_NC_050471.1:15703300-15725363	NA	NA	NA	NA	NA	NA	6088-8715	4409-6100, 6088-8715	6088-8715	6088-8715
monomorium_pharaonis_NC_050471.1:17680608-17701567	6278:7397	17310:18425	6274:6277/18426:18429	7398:7412	NA	NA	15287-11184	15287-11184	15287-11184	NA
monomorium_pharaonis_NC_050471.1:21890839-21912701	NA	NA	NA	NA	NA	NA	14626-13637	15540-14683	21327-20950, 13659-12799	12799-12110
monomorium_pharaonis_NC_050472.1:14263688-14284803	NA	NA	NA	NA	NA	NA	NA	NA	9089-9928, 2308-1967	20498-19674
monomorium_pharaonis_NC_050472.1:14264957-14285448	NA	NA	NA	NA	NA	NA	NA	NA	7820-8659, 1039-698	19229-18405
monomorium_pharaonis_NC_050473.1:23068164-23090287	19630:19852	21792:22027	19626:19629/22028:22031	19908:19922	NA	NA	2802-7298, 18225-19127	2802-7298	2802-7298	2802-7298
monomorium_pharaonis_NC_050473.1:23069442-23089954	18352:18823, 18352:18574	20038:20509, 20276:20509	18348:18351/20510:20513	18879:18893, 18630:18644	NA	NA	1524-6020, 16947-17849	1524-6020	1524-6020	1524-6020
monomorium_pharaonis_NC_050474.1:14832849-14853358	NA	NA	NA	NA	NA	18171-16474	16429-14810	18171-16474	16429-14810	NA
monomorium_pharaonis_NC_050475.1:9448937-9470895	NA	NA	NA	NA	NA	16157-14901	14998-14381, 14339-13791	16157-14901, 14998-14381	13470-11938	20330-20683
monomorium_pharaonis_NC_050475.1:9476740-9498551	NA	NA	NA	NA	NA	NA	2818-7314	2818-7314	2818-7314	2818-7314
monomorium_pharaonis_NC_050476.1:9341906-9362439	NA	NA	NA	NA	NA	17496-18350	NA	NA	NA	NA
monomorium_pharaonis_NW_023415500.1:1-15000	NA	NA	NA	NA	NA	NA	8472-7420	8472-7420	7469-5286	NA
monomorium_pharaonis_NW_023415643.1:63505-84437	NA	NA	NA	NA	NA	NA	17779-14513	17779-14513	17779-14513	17779-14513
monomorium_pharaonis_NW_023415798.1:1-20727	NA	NA	NA	NA	NA	NA	2771-7267	2771-7267	2771-7267, 12778-11696	2771-7267
monomorium_pharaonis_NW_023415798.1:21424-43316	NA	NA	NA	NA	NA	NA	NA	3811-4149	NA	21842-20940
monomorium_pharaonis_NW_023415798.1:30504-52396	NA	NA	NA	NA	NA	20396-21892	15180-11860	20396-21892, 15180-11860	15180-11860	NA
monomorium_pharaonis_NW_023415798.1:45056-65665	NA	NA	NA	NA	NA	5844-10034	5844-10034	5844-10034	5844-10034	NA
monomorium_pharaonis_NW_023415798.1:46337-65665	NA	NA	NA	NA	NA	4563-8753	4563-8753	4563-8753	4563-8753	NA
monomorium_pharaonis_NW_023415829.1:26074-48044	NA	NA	NA	NA	NA	16128-11938	16128-11938	16128-11938	16128-11938	NA
monomorium_pharaonis_NW_023415829.1:35357-56442	NA	NA	NA	NA	NA	6845-2655	6845-2655	6845-2655	6845-2655	NA
monomorium_pharaonis_NW_023415834.1:44008-66134	NA	NA	NA	NA	NA	NA	18862-14816	18862-14816	18862-14816	18862-14816
monomorium_pharaonis_NW_023415910.1:1-16946	NA	NA	NA	NA	NA	NA	12282-11245	14146-12188, 12282-11245	10678-9650	10678-9650
myzus_persicae_NW_019100660.1:666-22465	NA	NA	NA	NA	NA	NA	NA	NA	NA	1172-1558, 1659-2045, 20242-19445, 9595-9065
myzus_persicae_NW_019100944.1:9246-21278	NA	NA	NA	NA	NA	NA	NA	NA	7977-8708	7977-8708
nasonia_vitripennis_NC_045757.1:5910918-5932150	NA	NA	NA	NA	NA	NA	7267-8319	6709-7221, 7267-8319	8580-9227	NA
nasonia_vitripennis_NC_045758.1:18185757-18206944	NA	NA	NA	NA	NA	4611-7640	4611-7640	4611-7640, 14977-15501	NA	8350-9303
nasonia_vitripennis_NC_045760.1:29070475-29091716	376:2372	11576:13572	372:375/13573:13576	11499:11513	NA	5273-11338	5273-11338	5273-11338	5273-11338	NA
nasonia_vitripennis_NW_022279588.1:2525574-2546731	NA	NA	NA	NA	NA	NA	14297-13854	NA	NA	NA
nasonia_vitripennis_NW_022279591.1:4011282-4032484	NA	NA	NA	NA	NA	19185-19565	20787-21203	7474-8145, 19599-20456	8981-10438	NA
nasonia_vitripennis_NW_022279599.1:38911-60110	NA	NA	NA	NA	NA	NA	NA	NA	NA	2972-3394
nasonia_vitripennis_NW_022279601.1:324881-346035	1222:1614	11862:12259	1218:1221/12260:12263	11774:11788	NA	4832-5839	7174-9333, 13623-14612	5864-7081, 13064-13783	7174-9333	7174-9333
nasonia_vitripennis_NW_022279605.1:1071613-1092812	NA	NA	NA	NA	NA	NA	5317-8154	5317-8154, 1220-3	5317-8154	NA
nasonia_vitripennis_NW_022279605.1:284908-306113	NA	NA	NA	NA	NA	16479-15925	20979-19498, 14426-13827	20979-19498	13413-13054	13017-12145
nasonia_vitripennis_NW_022279608.1:2229318-2250487	NA	NA	NA	NA	NA	NA	58-1581	15767-16636, 19509-20681	14846-14412	58-1581, 5023-6036, 14396-13944
nasonia_vitripennis_NW_022279608.1:223060-244319	NA	NA	NA	NA	NA	NA	NA	5153-5533, 11655-12515	8645-8989	NA
nasonia_vitripennis_NW_022279608.1:3186817-3208064	NA	NA	NA	NA	NA	16555-14372	14362-13598	16555-14372	13224-12739	NA
nasonia_vitripennis_NW_022279610.1:2091634-2112887	NA	NA	NA	NA	NA	NA	NA	5917-5495	NA	NA
nasonia_vitripennis_NW_022279610.1:2292842-2314008	NA	NA	NA	NA	18058-15383	NA	15235-13958	15235-13958	21117-20692	18058-15383
nasonia_vitripennis_NW_022279613.1:423011-444411	NA	NA	NA	NA	NA	NA	7417-8010, 14431-13976	15401-14463	13838-13488	NA
nasonia_vitripennis_NW_022279625.1:1-19981	NA	NA	NA	NA	NA	NA	NA	NA	NA	14624-13188
nasonia_vitripennis_NW_022279625.1:812064-833230	NA	NA	NA	NA	NA	21054-16729	2787-3467, 21054-16729	1963-2703, 2787-3467, 21054-16729	3729-5117, 21054-16729	21054-16729
nasonia_vitripennis_NW_022279626.1:3104615-3125766	NA	NA	NA	NA	NA	NA	6867-7958	5571-6434	NA	NA
nasonia_vitripennis_NW_022279630.1:550931-572202	9012:9409	19898:20307	9008:9011/20308:20311	9483:9497	NA	16414-11918	16414-11918	16414-11918	16414-11918	NA
nasonia_vitripennis_NW_022279636.1:85436-106701	NA	NA	NA	NA	NA	16730-16062	14990-14289	NA	13084-12386	NA
nasonia_vitripennis_NW_022279638.1:2080894-2102117	NA	NA	NA	NA	NA	NA	21200-20349	5277-6878, 21200-20349	19257-18784	NA
nasonia_vitripennis_NW_022279639.1:1954181-1975446	9011:9408	19850:20247	9007:9010/20248:20251	9482:9496	NA	16443-14431	14016-13006	389-688, 16443-14431	12888-12349	5668-4472
nasonia_vitripennis_NW_022279643.1:2955304-2976500	NA	NA	NA	NA	NA	NA	NA	NA	12993-12667	12605-11811
nasonia_vitripennis_NW_022279643.1:644771-665886	NA	NA	NA	NA	NA	NA	NA	4877-5440, 5591-6301	NA	NA
nasonia_vitripennis_NW_022279643.1:957368-978582	NA	NA	NA	NA	NA	15478-14750	NA	NA	NA	13006-12350
nasonia_vitripennis_NW_022279644.1:348229-369371	NA	NA	NA	NA	NA	16450-15332	14664-13624	15389-14670, 14664-13624	3858-4934	12742-12284
nasonia_vitripennis_NW_022279652.1:1046253-1067518	NA	NA	NA	NA	NA	4819-6384	6362-8662, 15870-16301	6362-8662, 19691-19389	6362-8662	NA
nasonia_vitripennis_NW_022279655.1:658175-679284	NA	NA	NA	NA	NA	NA	NA	8955-8509	NA	1679-3
nasonia_vitripennis_NW_022279660.1:196426-217619	NA	NA	NA	NA	NA	NA	18461-17079	18461-17079	7607-8443, 15197-14205	8434-9282
nasonia_vitripennis_NW_022279661.1:166949-188196	299:1863	11535:13097	295:298/13098:13101	1936:1950	NA	4779-9350	4779-9350	4779-9350, 15460-14207	4779-9350	4779-9350
nasonia_vitripennis_NW_022279665.1:97411-118616	1347:2684	15885:17210, 18998:20323	1343:1346/17211:17214, 1343:1346/20324:20327	2691:2705	NA	4673-6433	6418-9141	6418-9141	NA	NA
nasonia_vitripennis_NW_022279684.1:43770-65017	4024:5390	16540:17917	4020:4023/17918:17921	16519:16533	NA	NA	NA	NA	NA	20859-20206
nasonia_vitripennis_NW_022279685.1:79223-100410	NA	NA	NA	NA	NA	15975-13438	15975-13438, 13344-12334	15975-13438	12349-11720	12349-11720
nasonia_vitripennis_NW_022279846.1:17935-37341	NA	NA	NA	NA	NA	NA	NA	NA	NA	15316-14399
odontomachus_brunneus_NW_022639451.1:8350559-8372469	NA	NA	NA	NA	NA	NA	NA	NA	15576-14425	14380-13670
odontomachus_brunneus_NW_022639451.1:8359666-8381474	NA	NA	NA	NA	NA	NA	21316-18179	21316-18179	21316-18179, 6469-5318	21316-18179
odontomachus_brunneus_NW_022639451.1:8378952-8400862	NA	NA	NA	NA	NA	NA	4382-3	4382-3	6676-5018	6676-5018
odontomachus_brunneus_NW_022639453.1:3400998-3422761	NA	NA	NA	NA	NA	NA	NA	NA	13175-12765, 12802-11957	NA
odontomachus_brunneus_NW_022639498.1:1995746-2017302	NA	NA	NA	NA	NA	NA	14453-13743	15401-15075, 15068-14700	13013-12699	8801-9100, 16387-18147, 12590-12171
odontomachus_brunneus_NW_022639505.1:295997-316533	NA	NA	NA	NA	NA	NA	NA	1130-744	16277-16642, 14182-13769	NA
odontomachus_brunneus_NW_022639507.1:840316-862202	NA	NA	NA	NA	NA	16322-12249	16322-12249	16322-12249	16322-12249	16322-12249
odontomachus_brunneus_NW_022639518.1:1-18356	NA	NA	NA	NA	NA	12667-10064	15336-17996, 12667-10064	12667-10064, 400-2	15336-17996, 9763-8492	15336-17996
odontomachus_brunneus_NW_022639518.1:9880-31799	NA	NA	NA	NA	NA	2788-185	5457-8117, 2788-185	2788-185	5457-8117	5457-8117
odontomachus_brunneus_NW_022639536.1:1466609-1487139	NA	NA	NA	NA	NA	NA	16736-14619	16736-14619	NA	NA
odontomachus_brunneus_NW_022639555.1:52774-74339	NA	NA	NA	NA	NA	NA	NA	NA	12944-12141, 8938-8264	8938-8264
odontomachus_brunneus_NW_022639555.1:739702-760982	NA	NA	NA	NA	NA	NA	NA	NA	2410-1982	2410-1982
odontomachus_brunneus_NW_022639561.1:172762-194675	NA	NA	NA	NA	18248-17322	4981-5523, 18248-17322	17376-15892	6251-6838, 6947-7279, 17376-15892	15862-13325	NA
odontomachus_brunneus_NW_022639561.1:32801-54618	NA	NA	NA	NA	NA	21382-16811	21382-16811	21382-16811	21382-16811	21382-16811
odontomachus_brunneus_NW_022639566.1:404389-424883	NA	NA	NA	NA	NA	1716-2072	2829-6230	2241-2822, 2829-6230, 20400-19984	2829-6230	NA
odontomachus_brunneus_NW_022639595.1:1-14665	NA	NA	NA	NA	NA	NA	10810-11343	9382-9828, 10810-11343	NA	NA
odontomachus_brunneus_NW_022639618.1:49485-70249	NA	NA	NA	NA	NA	NA	NA	5573-5100	6677-7192, 7812-8831	NA
odontomachus_brunneus_NW_022639618.1:749319-771229	NA	NA	NA	NA	NA	NA	16137-15226	17119-16184	15298-13649, 7395-7096	15298-13649
odontomachus_brunneus_NW_022639620.1:602546-624438	NA	NA	NA	NA	NA	16958-16038	15913-13781	15913-13781	NA	NA
odontomachus_brunneus_NW_022639620.1:619913-641733	NA	NA	NA	NA	NA	20206-20619, 18818-17946	16831-15794	17946-16831	15295-14966	14973-14029
odontomachus_brunneus_NW_022639624.1:664321-685964	NA	NA	NA	NA	NA	1978-5070	1978-5070	1978-5070	NA	NA
odontomachus_brunneus_NW_022639624.1:673821-695731	NA	NA	NA	NA	NA	NA	NA	19166-19636	NA	NA
odontomachus_brunneus_NW_022639624.1:728147-747103	NA	NA	NA	NA	NA	NA	NA	NA	2520-3578	2520-3578
odontomachus_brunneus_NW_022639642.1:93943-115655	NA	NA	NA	NA	NA	NA	6866-7693, 7778-8140, 1372-170	6866-7693, 3202-1376	8242-8844, 8860-9777, 16365-16994, 19046-19747, 1372-170	NA
odontomachus_brunneus_NW_022639661.1:277997-298596	NA	NA	NA	NA	NA	20186-19368	16240-13802	16240-13802	13700-11421	11399-10587
odontomachus_brunneus_NW_022639669.1:72066-92686	NA	NA	NA	NA	NA	5001-5885	NA	NA	NA	NA
odontomachus_brunneus_NW_022639673.1:378199-398798	NA	NA	NA	NA	NA	NA	6024-7976	6024-7976	8566-9432, 15847-15140	8566-9432
odontomachus_brunneus_NW_022639675.1:439560-461110	9539:9817	11195:11473	9535:9538/11474:11477	9853:9867	NA	NA	NA	NA	12058-9977	NA
odontomachus_brunneus_NW_022639676.1:72725-94497	NA	NA	NA	NA	NA	3709-6393	3709-6393	3709-6393, 20346-16975	NA	NA
odontomachus_brunneus_NW_022639695.1:289284-311281	NA	NA	NA	NA	NA	20296-18836	14357-12411	14357-12411	3778-4587, 2013-1606	3778-4587
odontomachus_brunneus_NW_022639696.1:178607-200424	NA	NA	NA	NA	NA	17254-15008	14942-14055, 14238-12202	21004-20537, 14942-14055	1984-2325, 14238-12202	14238-12202
odontomachus_brunneus_NW_022639702.1:360525-382423	NA	NA	NA	NA	NA	NA	NA	15383-14733, 14598-13702	2927-2385, 2475-2173	NA
odontomachus_brunneus_NW_022639713.1:1741-33828	NA	NA	NA	NA	NA	NA	27410-29800	27410-29800	5297-6211, 27410-29800, 17810-17133	29757-30659
odontomachus_brunneus_NW_022639713.1:35740-287791	NA	NA	NA	NA	NA	45681-46358, 240476-237921, 28029-27688	47485-48090, 48802-49698, 49500-50270, 137965-138408, 149007-149897, 159661-160308, 240476-237921, 237569-236289, 36246-35896, 22768-19067	40010-42397, 46881-47537, 48159-48794, 48802-49698, 134674-134985, 150140-150658, 158832-159371, 198453-201014, 213108-213683, 240476-237921, 105808-105308, 105470-104640, 97519-96671, 68126-66990, 22768-19067, 7621-6587, 6352-5168	49500-50270, 120974-122122, 150481-151230, 160319-162283, 236219-235092, 176856-176074, 170272-169967, 99282-98854, 22768-19067	120974-122122, 160319-162283, 99282-98854, 22768-19067
odontomachus_brunneus_NW_022639725.1:16613-182950	NA	NA	NA	NA	24590-21438	24590-21438, 20832-16279	104801-103632, 3913-2654	154709-156145, 106903-104861, 24590-21438, 20832-16279, 7081-6476	145333-144308, 35739-35224, 35217-34852, 27521-26883, 16131-15229, 2711-2358	39507-40502, 113635-117168, 145333-144308, 27521-26883, 2183-1878
odontomachus_brunneus_NW_022639725.1:184811-250824	NA	NA	NA	NA	NA	NA	NA	62864-61515, 61324-59864, 5731-5300	13048-13521, 51134-52159, 44225-41535, 36054-35749, 17289-16783	13048-13521, 51134-52159, 36414-36070
odontomachus_brunneus_NW_022639758.1:16980-67016	NA	NA	NA	NA	NA	NA	18729-22871, 3084-1786	18729-22871, 31463-32260, 32101-33237, 3084-1786	18729-22871, 1782-136	18729-22871
